Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,,number,1,,
Data,0,file_id,type,"4",,manufacturer,"40",,product,"0",,time_created,"988241855",,number,"0",,,,,
Definition,1,device_info,timestamp,1,,device_index,1,,device_type,1,,manufacturer,1,,serial_number,1,,product,1,,software_version,1,,hardware_version,1,,cum_operating_time,1,,battery_voltage,1,,battery_status,1,,
Data,1,device_info,timestamp,"0",s,device_index,"0",,device_type,"0",,manufacturer,"40",,product,"0",,software_version,"1.0",,hardware_version,"0",,cum_operating_time,"0",s,battery_voltage,"0.0",V,battery_status,"0",,,,,
Definition,2,activity,timestamp,1,,total_timer_time,1,,num_sessions,1,,type,1,,event,1,,,,,,,,,,,,,,,,,,,,
Data,2,activity,timestamp,"988241855",,total_timer_time,"0.001",s,num_sessions,"0",,type,"3",,event,"1",,,,,,,,,,,,,,,,,,,,
Definition,3,session,timestamp,1,,event,1,,event_type,1,,start_time,1,,sport,1,,sub_sport,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,total_calories,1,,avg_speed,1,,max_speed,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_cadence,1,,max_cadence,1,,avg_power,1,,max_power,1,,first_lap_index,1,,num_laps,1,,message_index,1,,
Data,3,session,timestamp,"988241855",s,event,"0",,event_type,"0",,start_time,"988241855",,sport,"4",,sub_sport,"14",,total_elapsed_time,"264.1",s,total_timer_time,"264.1",s,total_distance,"1147.99",m,total_cycles,"130",cycles,total_calories,"80",kcal,avg_speed,"4.346",m/s,max_speed,"4.587",m/s,avg_heart_rate,"121",bpm,max_heart_rate,"151",bpm,avg_cadence,"27",rpm,max_cadence,"92",rpm,avg_power,"230",watts,max_power,"270",watts,first_lap_index,"0",,num_laps,"3",,message_index,"0",,
Definition,4,event,timestamp,1,,event,1,,event_type,1,,data,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,event,timestamp,"988241855",s,event,"0",,event_type,"0",,timer_trigger,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,lap,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,message_index,1,,total_calories,1,,total_fat_calories,1,,avg_speed,1,,max_speed,1,,avg_power,1,,max_power,1,,total_ascent,1,,total_descent,1,,event,1,,event_type,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_cadence,1,,max_cadence,1,,intensity,1,,lap_trigger,1,,sport,1,,
Data,5,lap,timestamp,"988242005",s,start_time,"988241855",,total_elapsed_time,"149.4",s,total_timer_time,"149.4",s,total_distance,"499.99",m,total_cycles,"0",cycles,message_index,"0",,total_calories,"0",kcal,total_fat_calories,"0",kcal,avg_speed,"3.346",m/s,max_speed,"0.0",m/s,avg_power,"105",watts,max_power,"0",watts,total_ascent,"0",m,total_descent,"0",m,event,"0",,event_type,"0",,avg_heart_rate,"0",bpm,max_heart_rate,"0",bpm,avg_cadence,"22",rpm,max_cadence,"0",rpm,intensity,"0",,lap_trigger,"0",,sport,"0",,
